GID_1,poverty_range,poverty_rate
AGO.14.9_1,GSAP2_po_1,87.425
AGO.14.9_1,GSAP2_po_2,95.56
AGO.14.9_1,GSAP2_poor,69.43
AGO.15.1_1,GSAP2_po_1,87.8
AGO.15.1_1,GSAP2_po_2,95.98
AGO.15.1_1,GSAP2_poor,72.24
AGO.15.2_1,GSAP2_po_1,84.16
AGO.15.2_1,GSAP2_po_2,95.145
AGO.15.2_1,GSAP2_poor,67.495
AGO.15.3_1,GSAP2_po_1,84.16
AGO.15.3_1,GSAP2_po_2,95.145
AGO.15.3_1,GSAP2_poor,67.495
AGO.15.4_1,GSAP2_po_1,86.66
AGO.15.4_1,GSAP2_po_2,96.26
AGO.15.4_1,GSAP2_poor,72.86
AGO.15.5_1,GSAP2_po_1,86.36
AGO.15.5_1,GSAP2_po_2,95.95666667
AGO.15.5_1,GSAP2_poor,70.17666667
AGO.15.6_1,GSAP2_po_1,86.36
AGO.15.6_1,GSAP2_po_2,95.95666667
AGO.15.6_1,GSAP2_poor,70.17666667
AGO.15.7_1,GSAP2_po_1,83.92666667
AGO.15.7_1,GSAP2_po_2,94.46
AGO.15.7_1,GSAP2_poor,67.16666667
AGO.15.8_1,GSAP2_po_1,85.67
AGO.15.8_1,GSAP2_po_2,96.18
AGO.15.8_1,GSAP2_poor,69.94
AGO.15.9_1,GSAP2_po_1,82.92
AGO.15.9_1,GSAP2_po_2,93.77
AGO.15.9_1,GSAP2_poor,65.53666667
AGO.16.1_1,GSAP2_po_1,78.15
AGO.16.1_1,GSAP2_po_2,93.395
AGO.16.1_1,GSAP2_poor,55.885
AGO.16.2_1,GSAP2_po_1,76.26333333
AGO.16.2_1,GSAP2_po_2,91.50666667
AGO.16.2_1,GSAP2_poor,55.21666667
AGO.16.3_1,GSAP2_po_1,75.005
AGO.16.3_1,GSAP2_po_2,90.885
AGO.16.3_1,GSAP2_poor,51.83
AGO.16.4_1,GSAP2_po_1,75.71
AGO.16.4_1,GSAP2_po_2,89.46333333
AGO.16.4_1,GSAP2_poor,54
AGO.16.5_1,GSAP2_po_1,81.60666667
AGO.16.5_1,GSAP2_po_2,94.35333333
AGO.16.5_1,GSAP2_poor,62.43333333
AGO.17.10_1,GSAP2_po_1,83.305
AGO.17.10_1,GSAP2_po_2,94.44
AGO.17.10_1,GSAP2_poor,61.425
AGO.17.11_1,GSAP2_po_1,85
AGO.17.11_1,GSAP2_po_2,94.45
AGO.17.11_1,GSAP2_poor,62.51
AGO.17.12_1,GSAP2_po_1,91.34
AGO.17.12_1,GSAP2_po_2,97.04
AGO.17.12_1,GSAP2_poor,75.415
AGO.17.13_1,GSAP2_po_1,78.48666667
AGO.17.13_1,GSAP2_po_2,91.84333333
AGO.17.13_1,GSAP2_poor,59.06666667
AGO.17.14_1,GSAP2_po_1,84.705
AGO.17.14_1,GSAP2_po_2,94.37
AGO.17.14_1,GSAP2_poor,64.17
AGO.17.15_1,GSAP2_po_1,85
AGO.17.15_1,GSAP2_po_2,94.45
AGO.17.15_1,GSAP2_poor,62.51
AGO.17.16_1,GSAP2_po_1,85
AGO.17.16_1,GSAP2_po_2,94.45
AGO.17.16_1,GSAP2_poor,62.51
AGO.17.1_1,GSAP2_po_1,83.67333333
AGO.17.1_1,GSAP2_po_2,94.39
AGO.17.1_1,GSAP2_poor,62.89333333
AGO.17.2_1,GSAP2_po_1,70.58666667
AGO.17.2_1,GSAP2_po_2,87.66
AGO.17.2_1,GSAP2_poor,49.37
AGO.17.3_1,GSAP2_po_1,71.455
AGO.17.3_1,GSAP2_po_2,88.165
AGO.17.3_1,GSAP2_poor,46.88
AGO.17.4_1,GSAP2_po_1,85
AGO.17.4_1,GSAP2_po_2,94.45
AGO.17.4_1,GSAP2_poor,62.51
AGO.17.5_1,GSAP2_po_1,85
AGO.17.5_1,GSAP2_po_2,94.45
AGO.17.5_1,GSAP2_poor,62.51
AGO.17.6_1,GSAP2_po_1,71.455
AGO.17.6_1,GSAP2_po_2,88.165
AGO.17.6_1,GSAP2_poor,46.88
AGO.17.7_1,GSAP2_po_1,71.455
AGO.17.7_1,GSAP2_po_2,88.165
AGO.17.7_1,GSAP2_poor,46.88
AGO.17.8_1,GSAP2_po_1,89.03
AGO.17.8_1,GSAP2_po_2,96.12333333
AGO.17.8_1,GSAP2_poor,72.22
AGO.17.9_1,GSAP2_po_1,85
AGO.17.9_1,GSAP2_po_2,94.45
AGO.17.9_1,GSAP2_poor,62.51
AGO.18.1_1,GSAP2_po_1,77.17666667
AGO.18.1_1,GSAP2_po_2,91.31333333
AGO.18.1_1,GSAP2_poor,52.76666667
AGO.18.2_1,GSAP2_po_1,77.17666667
AGO.18.2_1,GSAP2_po_2,91.31333333
AGO.18.2_1,GSAP2_poor,52.76666667
AGO.18.3_1,GSAP2_po_1,70.58666667
AGO.18.3_1,GSAP2_po_2,87.66
AGO.18.3_1,GSAP2_poor,49.37
AGO.18.4_1,GSAP2_po_1,73.265
AGO.18.4_1,GSAP2_po_2,89.745
AGO.18.4_1,GSAP2_poor,47.895
AGO.18.5_1,GSAP2_po_1,73.265
AGO.18.5_1,GSAP2_po_2,89.745
AGO.18.5_1,GSAP2_poor,47.895
AGO.18.6_1,GSAP2_po_1,71.455
AGO.18.6_1,GSAP2_po_2,88.165
AGO.18.6_1,GSAP2_poor,46.88
AGO.2.1_1,GSAP2_po_1,75.005
AGO.2.1_1,GSAP2_po_2,90.885
AGO.2.1_1,GSAP2_poor,51.83
AGO.2.2_1,GSAP2_po_1,82.22333333
AGO.2.2_1,GSAP2_po_2,93.23
AGO.2.2_1,GSAP2_poor,64.49
AGO.2.3_1,GSAP2_po_1,72.49
AGO.2.3_1,GSAP2_po_2,87.73
AGO.2.3_1,GSAP2_poor,53.88
AGO.2.4_1,GSAP2_po_1,81.465
AGO.2.4_1,GSAP2_po_2,92.28
AGO.2.4_1,GSAP2_poor,63.455
AGO.2.5_1,GSAP2_po_1,72.49
AGO.2.5_1,GSAP2_po_2,87.73
AGO.2.5_1,GSAP2_poor,53.88
AGO.2.6_1,GSAP2_po_1,76.26333333
AGO.2.6_1,GSAP2_po_2,91.50666667
AGO.2.6_1,GSAP2_poor,55.21666667
AGO.2.7_1,GSAP2_po_1,75.635
AGO.2.7_1,GSAP2_po_2,90.24
AGO.2.7_1,GSAP2_poor,57.935
AGO.2.8_1,GSAP2_po_1,78.33666667
AGO.2.8_1,GSAP2_po_2,91.87
AGO.2.8_1,GSAP2_poor,60.81
AGO.2.9_1,GSAP2_po_1,81.465
AGO.2.9_1,GSAP2_po_2,92.28
AGO.2.9_1,GSAP2_poor,63.455
AGO.3.1_1,GSAP2_po_1,84.7575
AGO.3.1_1,GSAP2_po_2,94.3175
AGO.3.1_1,GSAP2_poor,66.76
AGO.3.2_1,GSAP2_po_1,83.83666667
AGO.3.2_1,GSAP2_po_2,93.85666667
AGO.3.2_1,GSAP2_poor,66.77
AGO.3.3_1,GSAP2_po_1,80.44
AGO.3.3_1,GSAP2_po_2,91.02
AGO.3.3_1,GSAP2_poor,61.62
AGO.3.4_1,GSAP2_po_1,82.09
AGO.3.4_1,GSAP2_po_2,93.075
AGO.3.4_1,GSAP2_poor,64.09
AGO.3.5_1,GSAP2_po_1,82.64
AGO.3.5_1,GSAP2_po_2,94.0325
AGO.3.5_1,GSAP2_poor,65.8725
AGO.3.6_1,GSAP2_po_1,83.2925
AGO.3.6_1,GSAP2_po_2,93.9
AGO.3.6_1,GSAP2_poor,65.61
AGO.3.7_1,GSAP2_po_1,80.44
AGO.3.7_1,GSAP2_po_2,91.02
AGO.3.7_1,GSAP2_poor,61.62
AGO.3.8_1,GSAP2_po_1,80.44
AGO.3.8_1,GSAP2_po_2,91.02
AGO.3.8_1,GSAP2_poor,61.62
AGO.3.9_1,GSAP2_po_1,82.425
AGO.3.9_1,GSAP2_po_2,92.655
AGO.3.9_1,GSAP2_poor,63.725
AGO.4.1_1,GSAP2_po_1,76.8875
AGO.4.1_1,GSAP2_po_2,90.1625
AGO.4.1_1,GSAP2_poor,53.755
AGO.4.2_1,GSAP2_po_1,73.37666667
AGO.4.2_1,GSAP2_po_2,88.12333333
AGO.4.2_1,GSAP2_poor,49.35
AGO.4.3_1,GSAP2_po_1,71.345
AGO.4.3_1,GSAP2_po_2,87.46
AGO.4.3_1,GSAP2_poor,48.195
AGO.4.4_1,GSAP2_po_1,73.37666667
AGO.4.4_1,GSAP2_po_2,88.12333333
AGO.4.4_1,GSAP2_poor,49.35
AGO.5.1_1,GSAP2_po_1,70.84
AGO.5.1_1,GSAP2_po_2,86.91
AGO.5.1_1,GSAP2_poor,50.855
AGO.5.2_1,GSAP2_po_1,65.3675
AGO.5.2_1,GSAP2_po_2,82.1575
AGO.5.2_1,GSAP2_poor,47.67
AGO.5.3_1,GSAP2_po_1,83.105
AGO.5.3_1,GSAP2_po_2,94.035
AGO.5.3_1,GSAP2_poor,66.54
AGO.5.4_1,GSAP2_po_1,83.92666667
AGO.5.4_1,GSAP2_po_2,94.46
AGO.5.4_1,GSAP2_poor,67.16666667
AGO.5.5_1,GSAP2_po_1,70.84
AGO.5.5_1,GSAP2_po_2,86.91
AGO.5.5_1,GSAP2_poor,50.855
AGO.5.6_1,GSAP2_po_1,85.67
AGO.5.6_1,GSAP2_po_2,96.18
AGO.5.6_1,GSAP2_poor,69.94
AGO.5.7_1,GSAP2_po_1,84.54666667
AGO.5.7_1,GSAP2_po_2,94.46333333
AGO.5.7_1,GSAP2_poor,68.05666667
AGO.5.8_1,GSAP2_po_1,84.68
AGO.5.8_1,GSAP2_po_2,96.1
AGO.5.8_1,GSAP2_poor,67.02
AGO.5.9_1,GSAP2_po_1,75.002
AGO.5.9_1,GSAP2_po_2,88.258
AGO.5.9_1,GSAP2_poor,57.914
AGO.6.10_1,GSAP2_po_1,75.23
AGO.6.10_1,GSAP2_po_2,90.54
AGO.6.10_1,GSAP2_poor,57.345
AGO.6.11_1,GSAP2_po_1,75.23
AGO.6.11_1,GSAP2_po_2,90.54
AGO.6.11_1,GSAP2_poor,57.345
AGO.6.12_1,GSAP2_po_1,81.61
AGO.6.12_1,GSAP2_po_2,94.43
AGO.6.12_1,GSAP2_poor,60.34
AGO.6.13_1,GSAP2_po_1,83.01
AGO.6.13_1,GSAP2_po_2,94.36
AGO.6.13_1,GSAP2_poor,63.085
AGO.6.1_1,GSAP2_po_1,83.67333333
AGO.6.1_1,GSAP2_po_2,94.39
AGO.6.1_1,GSAP2_poor,62.89333333
AGO.6.2_1,GSAP2_po_1,81.61
AGO.6.2_1,GSAP2_po_2,94.43
AGO.6.2_1,GSAP2_poor,60.34
AGO.6.3_1,GSAP2_po_1,78.48666667
AGO.6.3_1,GSAP2_po_2,91.84333333
AGO.6.3_1,GSAP2_poor,59.06666667
AGO.6.4_1,GSAP2_po_1,75.23
AGO.6.4_1,GSAP2_po_2,90.54
AGO.6.4_1,GSAP2_poor,57.345
AGO.6.5_1,GSAP2_po_1,81.3275
AGO.6.5_1,GSAP2_po_2,93.05
AGO.6.5_1,GSAP2_poor,63.3875
AGO.6.6_1,GSAP2_po_1,83.01
AGO.6.6_1,GSAP2_po_2,94.36
AGO.6.6_1,GSAP2_poor,63.085
AGO.6.7_1,GSAP2_po_1,76.925
AGO.6.7_1,GSAP2_po_2,90.55
AGO.6.7_1,GSAP2_poor,58.43
AGO.6.8_1,GSAP2_po_1,75.23
AGO.6.8_1,GSAP2_po_2,90.54
AGO.6.8_1,GSAP2_poor,57.345
AGO.6.9_1,GSAP2_po_1,83.01
AGO.6.9_1,GSAP2_po_2,94.36
AGO.6.9_1,GSAP2_poor,63.085
AGO.7.10_1,GSAP2_po_1,90.44
AGO.7.10_1,GSAP2_po_2,96.83
AGO.7.10_1,GSAP2_poor,73.03
AGO.7.11_1,GSAP2_po_1,81.465
AGO.7.11_1,GSAP2_po_2,92.28
AGO.7.11_1,GSAP2_poor,63.455
AGO.7.12_1,GSAP2_po_1,84.87333333
AGO.7.12_1,GSAP2_po_2,94.32666667
AGO.7.12_1,GSAP2_poor,67.07
AGO.7.1_1,GSAP2_po_1,90.44
AGO.7.1_1,GSAP2_po_2,96.83
AGO.7.1_1,GSAP2_poor,73.03
AGO.7.2_1,GSAP2_po_1,82.22333333
AGO.7.2_1,GSAP2_po_2,93.23
AGO.7.2_1,GSAP2_poor,64.49
AGO.7.3_1,GSAP2_po_1,90.44
AGO.7.3_1,GSAP2_po_2,96.83
AGO.7.3_1,GSAP2_poor,73.03
AGO.7.4_1,GSAP2_po_1,90.44
AGO.7.4_1,GSAP2_po_2,96.83
AGO.7.4_1,GSAP2_poor,73.03
AGO.7.5_1,GSAP2_po_1,85.48666667
AGO.7.5_1,GSAP2_po_2,95.18333333
AGO.7.5_1,GSAP2_poor,66.4
AGO.7.6_1,GSAP2_po_1,85.09666667
AGO.7.6_1,GSAP2_po_2,94.04666667
AGO.7.6_1,GSAP2_poor,66.82666667
AGO.7.7_1,GSAP2_po_1,79.645
AGO.7.7_1,GSAP2_po_2,91.74
AGO.7.7_1,GSAP2_poor,63.69
AGO.7.8_1,GSAP2_po_1,85.44
AGO.7.8_1,GSAP2_po_2,93.925
AGO.7.8_1,GSAP2_poor,67.325
AGO.7.9_1,GSAP2_po_1,79.645
AGO.7.9_1,GSAP2_po_2,91.74
AGO.7.9_1,GSAP2_poor,63.69
AGO.8.1_1,GSAP2_po_1,83.65
AGO.8.1_1,GSAP2_po_2,94.51
AGO.8.1_1,GSAP2_poor,68.76
AGO.8.2_1,GSAP2_po_1,86.6
AGO.8.2_1,GSAP2_po_2,96.185
AGO.8.2_1,GSAP2_poor,71.275
AGO.8.3_1,GSAP2_po_1,76.4775
AGO.8.3_1,GSAP2_po_2,90.285
AGO.8.3_1,GSAP2_poor,55.9975
AGO.8.4_1,GSAP2_po_1,83.99333333
AGO.8.4_1,GSAP2_po_2,95.04
AGO.8.4_1,GSAP2_poor,68.18
AGO.8.5_1,GSAP2_po_1,61.9175
AGO.8.5_1,GSAP2_po_2,80.115
AGO.8.5_1,GSAP2_poor,43.3225
AGO.8.6_1,GSAP2_po_1,70.16666667
AGO.8.6_1,GSAP2_po_2,86.19
AGO.8.6_1,GSAP2_poor,51.60666667
AGO.9.10_1,GSAP2_po_1,83.74
AGO.9.10_1,GSAP2_po_2,95.13
AGO.9.10_1,GSAP2_poor,66.56
AGO.9.11_1,GSAP2_po_1,83.74
AGO.9.11_1,GSAP2_po_2,95.13
AGO.9.11_1,GSAP2_poor,66.56
AGO.9.1_1,GSAP2_po_1,84.87333333
AGO.9.1_1,GSAP2_po_2,94.32666667
AGO.9.1_1,GSAP2_poor,67.07
AGO.9.2_1,GSAP2_po_1,81.26
AGO.9.2_1,GSAP2_po_2,93.94
AGO.9.2_1,GSAP2_poor,64.275
AGO.9.3_1,GSAP2_po_1,80.98666667
AGO.9.3_1,GSAP2_po_2,92.96666667
AGO.9.3_1,GSAP2_poor,63.39
AGO.9.4_1,GSAP2_po_1,83.74
AGO.9.4_1,GSAP2_po_2,95.13
AGO.9.4_1,GSAP2_poor,66.56
AGO.9.5_1,GSAP2_po_1,83.74
AGO.9.5_1,GSAP2_po_2,95.13
AGO.9.5_1,GSAP2_poor,66.56
AGO.9.6_1,GSAP2_po_1,87.09
AGO.9.6_1,GSAP2_po_2,95.98
AGO.9.6_1,GSAP2_poor,69.795
AGO.9.7_1,GSAP2_po_1,81.26
AGO.9.7_1,GSAP2_po_2,93.94
AGO.9.7_1,GSAP2_poor,64.275
AGO.9.8_1,GSAP2_po_1,82.09
AGO.9.8_1,GSAP2_po_2,93.075
AGO.9.8_1,GSAP2_poor,64.09
AGO.9.9_1,GSAP2_po_1,81.26
AGO.9.9_1,GSAP2_po_2,93.94
AGO.9.9_1,GSAP2_poor,64.275
BDI.1.1_1,GSAP2_po_1,96.54
BDI.1.1_1,GSAP2_po_2,99.265
BDI.1.1_1,GSAP2_poor,85.95
BDI.1.2_1,GSAP2_po_1,94.54
BDI.1.2_1,GSAP2_po_2,99
BDI.1.2_1,GSAP2_poor,79.8325
BDI.1.3_1,GSAP2_po_1,93.595
BDI.1.3_1,GSAP2_po_2,98.705
BDI.1.3_1,GSAP2_poor,75.575
BDI.1.4_1,GSAP2_po_1,96.9425
BDI.1.4_1,GSAP2_po_2,99.3625
BDI.1.4_1,GSAP2_poor,87.67
BDI.1.5_1,GSAP2_po_1,95.05666667
BDI.1.5_1,GSAP2_po_2,99.01666667
BDI.1.5_1,GSAP2_poor,80.98333333
BDI.10.1_1,GSAP2_po_1,87.63
BDI.10.1_1,GSAP2_po_2,96.1225
BDI.10.1_1,GSAP2_poor,67.4325
BDI.10.2_1,GSAP2_po_1,88.96666667
BDI.10.2_1,GSAP2_po_2,96.79
BDI.10.2_1,GSAP2_poor,70.92
BDI.10.3_1,GSAP2_po_1,93.42
BDI.10.3_1,GSAP2_po_2,98.535
BDI.10.3_1,GSAP2_poor,79.18
BDI.10.4_1,GSAP2_po_1,93.42
BDI.10.4_1,GSAP2_po_2,98.535
BDI.10.4_1,GSAP2_poor,79.18
BDI.10.5_1,GSAP2_po_1,87.34
BDI.10.5_1,GSAP2_po_2,96.49
BDI.10.5_1,GSAP2_poor,66.95
BDI.10.6_1,GSAP2_po_1,93.70666667
BDI.10.6_1,GSAP2_po_2,98.45666667
BDI.10.6_1,GSAP2_poor,78.83666667
BDI.10.7_1,GSAP2_po_1,94.56666667
BDI.10.7_1,GSAP2_po_2,98.82333333
BDI.10.7_1,GSAP2_poor,81.11666667
BDI.11.1_1,GSAP2_po_1,95.42
BDI.11.1_1,GSAP2_po_2,99.24
BDI.11.1_1,GSAP2_poor,80.34
BDI.11.2_1,GSAP2_po_1,93.79
BDI.11.2_1,GSAP2_po_2,98.925
BDI.11.2_1,GSAP2_poor,73.325
BDI.11.3_1,GSAP2_po_1,94.7775
BDI.11.3_1,GSAP2_po_2,99.2875
BDI.11.3_1,GSAP2_poor,79.0425
BDI.11.4_1,GSAP2_po_1,93.79
BDI.11.4_1,GSAP2_po_2,98.925
BDI.11.4_1,GSAP2_poor,73.325
BDI.11.5_1,GSAP2_po_1,97.14
BDI.11.5_1,GSAP2_po_2,99.78666667
BDI.11.5_1,GSAP2_poor,87.45333333
BDI.11.6_1,GSAP2_po_1,94.86666667
BDI.11.6_1,GSAP2_po_2,99.21666667
BDI.11.6_1,GSAP2_poor,78.84
BDI.11.7_1,GSAP2_po_1,96.37
BDI.11.7_1,GSAP2_po_2,99.745
BDI.11.7_1,GSAP2_poor,83.995
BDI.12.1_1,GSAP2_po_1,97.10333333
BDI.12.1_1,GSAP2_po_2,99.45333333
BDI.12.1_1,GSAP2_poor,87.38333333
BDI.12.2_1,GSAP2_po_1,96.22
BDI.12.2_1,GSAP2_po_2,99.675
BDI.12.2_1,GSAP2_poor,83.445
BDI.12.3_1,GSAP2_po_1,97.23333333
BDI.12.3_1,GSAP2_po_2,99.58333333
BDI.12.3_1,GSAP2_poor,89.63666667
BDI.12.4_1,GSAP2_po_1,94.9075
BDI.12.4_1,GSAP2_po_2,99.19
BDI.12.4_1,GSAP2_poor,79.51
BDI.12.5_1,GSAP2_po_1,96.48333333
BDI.12.5_1,GSAP2_po_2,99.72666667
BDI.12.5_1,GSAP2_poor,85.67333333
BDI.13.1_1,GSAP2_po_1,91.9875
BDI.13.1_1,GSAP2_po_2,98.1075
BDI.13.1_1,GSAP2_poor,77.62
BDI.13.2_1,GSAP2_po_1,91.11666667
BDI.13.2_1,GSAP2_po_2,98.03666667
BDI.13.2_1,GSAP2_poor,74.95666667
BDI.13.3_1,GSAP2_po_1,94.56666667
BDI.13.3_1,GSAP2_po_2,98.82333333
BDI.13.3_1,GSAP2_poor,81.11666667
BDI.13.4_1,GSAP2_po_1,95.66333333
BDI.13.4_1,GSAP2_po_2,98.83
BDI.13.4_1,GSAP2_poor,83.79333333
BDI.13.5_1,GSAP2_po_1,88.434
BDI.13.5_1,GSAP2_po_2,97.02
BDI.13.5_1,GSAP2_poor,67.736
BDI.13.6_1,GSAP2_po_1,92.21333333
BDI.13.6_1,GSAP2_po_2,98.04333333
BDI.13.6_1,GSAP2_poor,77.63333333
